# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Web Edition
# File: E:\FPGA\Chameleon_Pong\PIns.csv
# Generated on: Sun Jan 15 12:32:27 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
blu[4],Output,PIN_137,8,B8_N0,,
blu[3],Output,PIN_136,8,B8_N0,,
blu[2],Output,PIN_135,8,B8_N0,,
blu[1],Output,PIN_133,8,B8_N0,,
blu[0],Output,PIN_112,7,B7_N0,,
clk8,Input,PIN_25,2,B2_N0,,
dotclock_n,Input,PIN_89,5,B5_N0,,
freeze_n,Input,PIN_23,1,B1_N0,,
grn[4],Output,PIN_98,6,B6_N0,,
grn[3],Output,PIN_99,6,B6_N0,,
grn[2],Output,PIN_100,6,B6_N0,,
grn[1],Output,PIN_101,6,B6_N0,,
grn[0],Output,PIN_103,6,B6_N0,,
ioef_n,Input,PIN_90,6,B6_N0,,
mmc_cd_n,Input,PIN_22,1,B1_N0,,
mmc_wp,Input,PIN_24,2,B2_N0,,
mux[3],Output,PIN_113,7,B7_N0,,
mux[2],Output,PIN_114,7,B7_N0,,
mux[1],Output,PIN_115,7,B7_N0,,
mux[0],Output,PIN_119,7,B7_N0,,
mux_clk,Output,PIN_87,5,B5_N0,,
mux_d[3],Output,PIN_132,8,B8_N0,,
mux_d[2],Output,PIN_120,7,B7_N0,,
mux_d[1],Output,PIN_121,7,B7_N0,,
mux_d[0],Output,PIN_125,7,B7_N0,,
mux_q[3],Input,PIN_129,8,B8_N0,,
mux_q[2],Input,PIN_128,8,B8_N0,,
mux_q[1],Input,PIN_127,7,B7_N0,,
mux_q[0],Input,PIN_126,7,B7_N0,,
nHSync,Output,PIN_142,8,B8_N0,,
nVSync,Output,PIN_141,8,B8_N0,,
phi2_n,Input,PIN_88,5,B5_N0,,
red[4],Output,PIN_104,6,B6_N0,,
red[3],Output,PIN_105,6,B6_N0,,
red[2],Output,PIN_106,6,B6_N0,,
red[1],Output,PIN_110,7,B7_N0,,
red[0],Output,PIN_111,7,B7_N0,,
romlh_n,Input,PIN_91,6,B6_N0,,
sd_clk,Output,PIN_44,3,B3_N0,,
sigmaL,Output,PIN_86,5,B5_N0,,
sigmaR,Output,PIN_85,5,B5_N0,,
spi_miso,Input,PIN_13,1,B1_N0,,
usart_clk,Input,PIN_53,3,B3_N0,,
usart_cts,Input,PIN_55,4,B4_N0,,
usart_rts,Input,PIN_54,4,B4_N0,,
usart_tx,Input,PIN_52,3,B3_N0,,
sd_addr[12],Unknown,PIN_42,3,B3_N0,,
sd_addr[11],Unknown,PIN_33,2,B2_N0,,
sd_addr[10],Unknown,PIN_144,8,B8_N0,,
sd_addr[9],Unknown,PIN_31,2,B2_N0,,
sd_addr[8],Unknown,PIN_28,2,B2_N0,,
sd_addr[7],Unknown,PIN_11,1,B1_N0,,
sd_addr[6],Unknown,PIN_10,1,B1_N0,,
sd_addr[5],Unknown,PIN_8,1,B1_N0,,
sd_addr[4],Unknown,PIN_7,1,B1_N0,,
sd_addr[3],Unknown,PIN_30,2,B2_N0,,
sd_addr[2],Unknown,PIN_32,2,B2_N0,,
sd_addr[1],Unknown,PIN_6,1,B1_N0,,
sd_addr[0],Unknown,PIN_4,1,B1_N0,,
sd_ba_0,Unknown,PIN_39,3,B3_N0,,
sd_ba_1,Unknown,PIN_143,8,B8_N0,,
sd_we_n,Unknown,PIN_50,3,B3_N0,,
